2019-05-26 20:01:37 INFO  QuickQuiz:479 - 42 - History
2019-05-26 20:01:37 INFO  QuickQuiz:479 - 43 - History
2019-05-26 20:01:37 INFO  QuickQuiz:479 - 71 - Networking
2019-05-26 20:01:37 INFO  QuickQuiz:479 - 72 - Networking
2019-05-26 20:01:38 INFO  QuickQuiz:479 - 11 - Software
2019-05-26 20:01:38 INFO  QuickQuiz:479 - 12 - Software
2019-05-26 20:01:38 INFO  QuickQuiz:479 - 13 - Software
2019-05-26 20:01:38 INFO  QuickQuiz:479 - 41 - History
2019-05-26 20:01:39 INFO  QuickQuiz:479 - 42 - History
2019-05-26 20:01:39 INFO  QuickQuiz:479 - 43 - History
2019-05-26 20:01:39 INFO  QuickQuiz:479 - 71 - Networking
2019-05-26 20:01:39 INFO  QuickQuiz:479 - 72 - Networking
2019-05-26 20:06:25 INFO  QuickQuiz:548 - Establishing connection. Please wait ...
2019-05-26 20:06:26 ERROR QuickQuiz:556 - Unexpected exception: Connection refused: connect
